measure,location,sex,age,cause,year,death_rate_per_100k,Code,clean_fuel_access_pct,AveragScore,SafetySecurity,PersonelFreedom,Governance,SocialCapital,InvestmentEnvironment,EnterpriseConditions,MarketAccessInfrastructure,EconomicQuality,LivingConditions,Health,Education,NaturalEnvironment,avg_temp_1991_2020,Continent,temp_category
Deaths,Eswatini,Male,All ages,Poisoning by carbon monoxide,2000,0.4133854376759425,SWZ,24.9,,,,,,,,,,,,,,20.64,Africa,Colder
Deaths,Eswatini,Female,All ages,Poisoning by carbon monoxide,2000,0.0240091866031144,SWZ,24.9,,,,,,,,,,,,,,20.64,Africa,Colder
Deaths,Eswatini,Male,<1 year,Poisoning by carbon monoxide,2000,0.5879647272647613,SWZ,24.9,,,,,,,,,,,,,,20.64,Africa,Colder
Deaths,Eswatini,Female,<1 year,Poisoning by carbon monoxide,2000,0.3555321041441181,SWZ,24.9,,,,,,,,,,,,,,20.64,Africa,Colder
Deaths,Estonia,Male,All ages,Poisoning by carbon monoxide,2000,4.503623197820145,EST,100.0,,,,,,,,,,,,,,6.34,Europe,Colder
Deaths,Estonia,Female,All ages,Poisoning by carbon monoxide,2000,0.8714809491020652,EST,100.0,,,,,,,,,,,,,,6.34,Europe,Colder
Deaths,Estonia,Male,<1 year,Poisoning by carbon monoxide,2000,0.687362819667501,EST,100.0,,,,,,,,,,,,,,6.34,Europe,Colder
Deaths,Estonia,Female,<1 year,Poisoning by carbon monoxide,2000,0.4078651447069359,EST,100.0,,,,,,,,,,,,,,6.34,Europe,Colder
Deaths,Ethiopia,Male,All ages,Poisoning by carbon monoxide,2000,0.8025321911174117,ETH,0.8,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Ethiopia,Female,All ages,Poisoning by carbon monoxide,2000,0.021162093446525,ETH,0.8,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Ethiopia,Male,<1 year,Poisoning by carbon monoxide,2000,1.8162999884659048,ETH,0.8,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Ethiopia,Female,<1 year,Poisoning by carbon monoxide,2000,0.0099626245442074,ETH,0.8,,,,,,,,,,,,,,23.36,Africa,Colder
Deaths,Mozambique,Male,All ages,Poisoning by carbon monoxide,2000,0.1744591731135915,MOZ,1.9,,,,,,,,,,,,,,24.41,Africa,Warmer
Deaths,Mozambique,Female,All ages,Poisoning by carbon monoxide,2000,0.0112618823648591,MOZ,1.9,,,,,,,,,,,,,,24.41,Africa,Warmer
Deaths,Mozambique,Male,<1 year,Poisoning by carbon monoxide,2000,0.7775641774094948,MOZ,1.9,,,,,,,,,,,,,,24.41,Africa,Warmer
Deaths,Mozambique,Female,<1 year,Poisoning by carbon monoxide,2000,0.0201445829697733,MOZ,1.9,,,,,,,,,,,,,,24.41,Africa,Warmer
Deaths,Germany,Male,All ages,Poisoning by carbon monoxide,2000,0.1912013219516316,DEU,100.0,,,,,,,,,,,,,,9.59,Europe,Colder
Deaths,Germany,Female,All ages,Poisoning by carbon monoxide,2000,0.1189747923157679,DEU,100.0,,,,,,,,,,,,,,9.59,Europe,Colder
Deaths,Germany,Male,<1 year,Poisoning by carbon monoxide,2000,0.0465901900731607,DEU,100.0,,,,,,,,,,,,,,9.59,Europe,Colder
Deaths,Germany,Female,<1 year,Poisoning by carbon monoxide,2000,0.0441005959735701,DEU,100.0,,,,,,,,,,,,,,9.59,Europe,Colder
Deaths,Bhutan,Male,All ages,Poisoning by carbon monoxide,2000,0.1328116294095972,BTN,26.45,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Bhutan,Female,All ages,Poisoning by carbon monoxide,2000,0.0452302871663484,BTN,26.45,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Bhutan,Male,<1 year,Poisoning by carbon monoxide,2000,0.1272371481043893,BTN,26.45,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Bhutan,Female,<1 year,Poisoning by carbon monoxide,2000,0.2428553490443784,BTN,26.45,,,,,,,,,,,,,,10.38,Asia,Colder
Deaths,Sweden,Male,All ages,Poisoning by carbon monoxide,2000,0.1280225717257169,SWE,100.0,,,,,,,,,,,,,,3.23,Europe,Colder
Deaths,Sweden,Female,All ages,Poisoning by carbon monoxide,2000,0.0483783002254846,SWE,100.0,,,,,,,,,,,,,,3.23,Europe,Colder
Deaths,Sweden,Male,<1 year,Poisoning by carbon monoxide,2000,0.0227144756675867,SWE,100.0,,,,,,,,,,,,,,3.23,Europe,Colder
Deaths,Sweden,Female,<1 year,Poisoning by carbon monoxide,2000,0.0061591518605214,SWE,100.0,,,,,,,,,,,,,,3.23,Europe,Colder
Deaths,Belgium,Male,All ages,Poisoning by carbon monoxide,2000,0.4800755017393682,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Belgium,Female,All ages,Poisoning by carbon monoxide,2000,0.3034028728052879,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Belgium,Male,<1 year,Poisoning by carbon monoxide,2000,0.0849327229589004,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Belgium,Female,<1 year,Poisoning by carbon monoxide,2000,0.073820262289384,BEL,100.0,,,,,,,,,,,,,,10.67,Europe,Colder
Deaths,Dominican Republic,Male,All ages,Poisoning by carbon monoxide,2000,0.058372309894355,DOM,83.7,,,,,,,,,,,,,,24.55,North America,Warmer
Deaths,Dominican Republic,Female,All ages,Poisoning by carbon monoxide,2000,0.0457425721092724,DOM,83.7,,,,,,,,,,,,,,24.55,North America,Warmer
Deaths,Dominican Republic,Male,<1 year,Poisoning by carbon monoxide,2000,0.0985579573777164,DOM,83.7,,,,,,,,,,,,,,24.55,North America,Warmer
Deaths,Dominican Republic,Female,<1 year,Poisoning by carbon monoxide,2000,0.2359783917661168,DOM,83.7,,,,,,,,,,,,,,24.55,North America,Warmer
Deaths,Kenya,Male,All ages,Poisoning by carbon monoxide,2000,0.3662172737737913,KEN,1.7,,,,,,,,,,,,,,25.08,Africa,Warmer
Deaths,Kenya,Female,All ages,Poisoning by carbon monoxide,2000,0.0151124666290608,KEN,1.7,,,,,,,,,,,,,,25.08,Africa,Warmer
Deaths,Kenya,Male,<1 year,Poisoning by carbon monoxide,2000,0.9300612182200266,KEN,1.7,,,,,,,,,,,,,,25.08,Africa,Warmer
Deaths,Kenya,Female,<1 year,Poisoning by carbon monoxide,2000,0.0184871236021916,KEN,1.7,,,,,,,,,,,,,,25.08,Africa,Warmer
Deaths,Zimbabwe,Male,All ages,Poisoning by carbon monoxide,2000,0.3595925171292301,ZWE,33.6,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Zimbabwe,Female,All ages,Poisoning by carbon monoxide,2000,0.0235208652222333,ZWE,33.6,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Zimbabwe,Male,<1 year,Poisoning by carbon monoxide,2000,3.5883385236076584,ZWE,33.6,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Zimbabwe,Female,<1 year,Poisoning by carbon monoxide,2000,0.4630786117407466,ZWE,33.6,,,,,,,,,,,,,,21.9,Africa,Colder
Deaths,Chile,Male,All ages,Poisoning by carbon monoxide,2001,0.3292565966291006,CHL,100.0,,,,,,,,,,,,,,9.39,South America,Colder
Deaths,Chile,Female,All ages,Poisoning by carbon monoxide,2001,0.1385579368601191,CHL,100.0,,,,,,,,,,,,,,9.39,South America,Colder
Deaths,Chile,Male,<1 year,Poisoning by carbon monoxide,2001,0.368029974408225,CHL,100.0,,,,,,,,,,,,,,9.39,South America,Colder
Deaths,Chile,Female,<1 year,Poisoning by carbon monoxide,2001,0.344073650081716,CHL,100.0,,,,,,,,,,,,,,9.39,South America,Colder
Deaths,Rwanda,Male,All ages,Poisoning by carbon monoxide,2000,0.5325161868209708,RWA,0.1,,,,,,,,,,,,,,20.03,Africa,Colder
Deaths,Rwanda,Female,All ages,Poisoning by carbon monoxide,2000,0.0278449778669624,RWA,0.1,,,,,,,,,,,,,,20.03,Africa,Colder
Deaths,Rwanda,Male,<1 year,Poisoning by carbon monoxide,2000,0.8981763729295423,RWA,0.1,,,,,,,,,,,,,,20.03,Africa,Colder
